Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Business Analyst - Compliance - e-commerce/FinTech/IT Firm,Vivirooms Ecomm,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillsQuality improvementData managementManagement systemsSiemensData qualityData analyticsManagement,https://www.naukri.com/job-listings-financial-data-analyst-associate-2-pricewaterhouse-coopers-private-limited-kolkata-hyderabad-secunderabad-bangalore-bengaluru-2-to-5-years-271023500259,15 Days Ago
Analyst,Hanu Consultancy Services,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,TelecomSoftware designSemiconductorData managementDevelopment ManagerData modelingHealthcareInformation technology,https://www.naukri.com/job-listings-customer-data-analyst-oracle-bangalore-bengaluru-1-to-3-years-060922009927,30+ Days Ago
Business Analyst II,Persolkelly India,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceProduct engineeringLinuxArtificial IntelligenceMachine learningAgileData collectionHTML,https://www.naukri.com/job-listings-lead-analyst-data-management-quantitative-analysis-6-9-years-bnymelloninternationaloperations-india-privatelim-ited-pune-maharashtra-6-to-10-years-190823004800,1 Day Ago
Analyst,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Performance tuningC++AutomationMySQLData structuresOracleApacheTeradata,https://www.naukri.com/job-listings-analyst-data-business-intelligence-yes-securities-mumbai-3-to-6-years-181023500524,30+ Days Ago
Design Analyst,Coders Brain Pvt Ltd,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad(Jubilee Hills), Chennai",AWSSparkPythonSQLData,https://www.naukri.com/job-listings-urgent-opening-for-data-analyst-zeno-health-zeno-health-mumbai-maharashtra-3-to-8-years-171023006021,30+ Days Ago
Business Analyst & Technical Product Owner,Alankit Assignments,3-4 Yrs,Not disclosed,Remote,MiningEngineering consultancyAnalytical skillsCareer developmentInterpersonal skillsPlant designCMSTechnical Lead,https://www.naukri.com/job-listings-business-data-analyst-astreya-hyderabad-secunderabad-5-to-8-years-121023006780,Starts in 1-3 months
Market Research Analyst,Crisil,3-4 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Payrolldata governancePLSQLData qualityInformaticaOpen sourceData warehousingETL tool,https://www.naukri.com/job-listings-master-data-analyst-oriflame-cosmetics-ltd-new-delhi-3-to-5-years-120123500002,22 Days Ago
Business Analyst,Cvent,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra(Kharadi)",SnowflakeAWSPythonSQLairflowDataHiringData Engineering,https://www.naukri.com/job-listings-senior-consultant-ai-springer-nature-pune-maharashtra-8-to-12-years-261023009053,18 Days Ago
Pre-Sales Analyst,Realpage,5-7 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",ProcurementProject managementPharmaHealthcareInformaticaOperationsAnalyticsTechnical support,https://www.naukri.com/job-listings-senior-associate-principal-statistical-data-scientist-pfizer-limited-chennai-7-to-11-years-230923501206,Starts in 1-3 months
Business Analyst - Digital platforms,Refract Consulting,6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Cloud computingSoftware designData modelingFlexAgileData structuresAnalyticsMonitoring,https://www.naukri.com/job-listings-sr-data-scientist-general-mills-inc-mumbai-10-to-12-years-040923501821,30+ Days Ago
Business Analysis and Development,ADP Solutions,3-4 Yrs,Not disclosed,Chennai,Operations researchProduction planningAnalyticalSchedulingOperationsAnalyticsSQLFICO,https://www.naukri.com/job-listings-crypto-data-engineer-intern-token-metrics-new-delhi-0-to-1-years-040923501860,8 Days Ago
Business Analyst,Crisil,2-5 Yrs,Not disclosed,Pune,Power BiHadoopData AnalysisSQLBig4DataBiAnalysis,https://www.naukri.com/job-listings-analytics-engineer-data-analyst-2-to-7-yrs-vanderlande-industries-pune-maharashtra-3-to-7-years-020923007211,14 Days Ago
Business Analyst,Hays,4-5 Yrs,Not disclosed,Chennai,githubInterpersonal skillsGITArchitectureDatabase designGCPAgileSiemens,https://www.naukri.com/job-listings-senior-manager-deputy-general-manager-learning-development-dept-emerging-india-educational-services-noida-3-to-7-years-091023003340,30+ Days Ago
Principal Business Quality Analyst- Bilingual,Bagful International,1-5 Yrs,Not disclosed,Mumbai,Data AnalysisGCPArtificial IntelligenceGoogle Cloud PlatformBigdataAIMachine LearningDevops,https://www.naukri.com/job-listings-data-engineer-intern-irdeto-new-delhi-0-to-1-years-061023500833,30+ Days Ago
Business Analyst,Trantor,3-5 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",CROPMPBusiness objectsClinical researchSchedulingProject planningResource managementForecasting,https://www.naukri.com/job-listings-sr-manager-data-analytics-icici-prudential-life-insurance-co-ltd-mumbai-2-to-4-years-250923500188,30+ Days Ago
ANALYST,Unlimit Iot,1-5 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",hiveUsageArchitectureGCPCompetency developmentAgile methodologyData AnalystManagement,https://www.naukri.com/job-listings-senior-azure-data-engineer-bl-tarento-technologies-pvt-ltd-bangalore-bengaluru-8-to-13-years-191023500321,9 Days Ago
Business Analyst,QBI Institute,3-5 Yrs,Not disclosed,"Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",Supply chainData analysisOperations researchSimulationAnalyticalAgileData miningEconometrics,https://www.naukri.com/job-listings-senior-data-engineer-unitedlex-gurgaon-gurugram-haryana-5-to-10-years-131023007381,9 Days Ago
Business Analyst,Ebizon Net Info,8-9 Yrs,Not disclosed,Mumbai,Data analysisExcelSalesBusiness analyticsAnalyticalData collectionMS Office toolsPackaging,https://www.naukri.com/job-listings-data-analyst-sr-i-synopsys-india-private-limited-hyderabad-secunderabad-5-to-7-years-080823500147,14 Days Ago
Business Analyst,Zone IT,6-8 Yrs,Not disclosed,Gurgaon/Gurugram,Data analysisSimulationConsultingpower biHTMLData Analystdata visualizationmicrosoft,https://www.naukri.com/job-listings-senior-data-analyst-equiniti-chennai-3-to-5-years-220223501870,14 Days Ago
Product / Business Analyst,Unlimit Iot,4-8 Yrs,Not disclosed,Mumbai,Support AnalystData AnalystDataData analysis,https://www.naukri.com/job-listings-senior-business-analyst-and-data-scientist-ruby-consulting-mumbai-pune-7-to-10-years-050923500298,15 Days Ago
Business Analyst,Unlimit Iot,2-4 Yrs,Not disclosed,Mumbai,RSQLPythonJavaC++ScalaData Scientistdata mining,https://www.naukri.com/job-listings-data-scientist-nr-consulting-bangalore-bengaluru-5-to-8-years-181023009688,10 Days Ago
Business System Analyst,Diverse Lynx,2-6 Yrs,Not disclosed,Hyderabad/Secunderabad,C++Data AnalysisJavaRoperations researchdata miningScalaPython,https://www.naukri.com/job-listings-lead-data-scientist-chemdelve-bangalore-bengaluru-karnataka-12-to-16-years-181023009532,10 Days Ago
Business Analyst Social Sector Knowledge Resources Management,2070health,4-9 Yrs,Not disclosed,Remote,NursingDiagnosticsAnalyticalReconciliationStrategic planningOperationsTechnical supportMonitoring,https://www.naukri.com/job-listings-data-scientist-neostats-bangalore-bengaluru-3-to-8-years-131023500171,11 Days Ago
Business Analyst,BIS Research,3-5 Yrs,Not disclosed,"New Delhi, Hyderabad/Secunderabad",Data ManagementSASDetail orientationData Maintenanceclient relationshipClinical Data ManagementETLSQL,https://www.naukri.com/job-listings-data-scientist-tickerjob-bangalore-bengaluru-3-to-7-years-121023911423,13 Days Ago
