Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Asset Data Acquisition Engineer,Metyis,5-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Delivery LeadArchitectureSASEnterprise architectureMISData ArchitectDesign managementInformatica,https://www.naukri.com/job-listings-data-engineering-associate-metyis-bangalore-bengaluru-10-to-12-years-100522501099,30+ Days Ago
Sr.Specialist/Data lead SAP,Atlan,3-6 Yrs,Not disclosed,"Kolkata, Bangalore/Bengaluru",BackendGITProject managementConsultingAgileJIRAProject deliverySQL,https://www.naukri.com/job-listings-engineering-manager-data-lineage-atlan-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-11-years-041023501751,23 Days Ago
Senior Consultant Data Engineering,mPokket,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Business IntelligenceVisual AnalyticsData EngineeringData ModelingETLfunctional dataMetadataDimensional Modeling,https://www.naukri.com/job-listings-data-engineering-manager-with-mpokket-mpokket-kolkata-bangalore-bengaluru-5-to-10-years-031023004029,24 Days Ago
Senior Data Engineer,Icon Plc,5-10 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(3rd Phase JP Nagar)",Manager Quality AssuranceNetworkingRenewable energyCodingAnalyticalBillingSensorsTroubleshooting,https://www.naukri.com/job-listings-senior-data-architect-icon-pharmaceutical-s-bangalore-bengaluru-10-to-15-years-300623501344,30+ Days Ago
Data Engineer,Boston Technology Corporation(BTC),3-10 Yrs,Not disclosed,Bangalore/Bengaluru,Performance tuningMavenBusiness objectsSAPEnterprise applicationsConsultingAgileABAP,https://www.naukri.com/job-listings-ai-ml-data-solutions-architect-boston-technology-corporation-btc-bangalore-bengaluru-karnataka-13-to-16-years-280923009474,29 Days Ago
Big Data Professional,Dealersocket,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisData managementData modelingAnalyticalEngineering ManagerHealthcareData qualityAnalytics,https://www.naukri.com/job-listings-data-implementation-specialist-i-dealersocket-bangalore-bengaluru-2-to-4-years-280723502806,30+ Days Ago
Senior Data Engineer,TEG Analytics,2-4 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",DockerGCPBig DataSQLPythonDataData EngineeringSenior,https://www.naukri.com/job-listings-product-analyst-analytics-consultant-teg-analytics-bangalore-bengaluru-1-to-6-years-290722501898,30+ Days Ago
Senior Data Engineer - Shift (5.30pm - 2am),FabHotels,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Power BIData structuresInformaticaSQLPythonUnixData migrationBig Data,https://www.naukri.com/job-listings-senior-infrastructure-and-data-architect-fabhotel-aay-kay-model-town-mumbai-bangalore-bengaluru-8-to-10-years-140923500740,30+ Days Ago
Data Migration Developer,Euclid Innovations,3-10 Yrs,Not disclosed,Bangalore/Bengaluru,hiveRFNetworkingsparkManager TechnologyBusiness solutionsbig dataSQL,https://www.naukri.com/job-listings-sap-data-migration-manager-euclid-innovations-pvt-ltd-bangalore-bengaluru-10-to-12-years-091023500382,18 Days Ago
Snowflake Data Engineer/Sr. Data Engineer,TEG Analytics,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Version controlLinuxCodingPostgresqlMySQLShell scriptingStored proceduresJIRA,https://www.naukri.com/job-listings-product-analyst-analytics-consultant-teg-analytics-bangalore-bengaluru-1-to-6-years-070223501099,30+ Days Ago
Gcp Data Engineer,Coindcx,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,data lakesdata pipelinesPythonSQLData EngineeringData warehouseWarehousePipeline,https://www.naukri.com/job-listings-data-engineering-manager-coindcx-bangalore-bengaluru-5-to-10-years-021222500046,30+ Days Ago
Data Warehouse Engineer,Brillio,3-7 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",.net coreData MigrationPostgresql.NetSQL ServerNet Core FrameworkSQLMigration,https://www.naukri.com/job-listings-lead-data-engineer-brillio-technologies-pvt-ltd-bangalore-bengaluru-3-to-7-years-250123501639,30+ Days Ago
