Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
"Python , TOSCA and Big Data profiles",Fusion Plus Solutions Inc,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,UnixMicrostrategyautomation frameworkBusiness objectsBackendManual testingTest strategyScrum,https://www.naukri.com/job-listings-python-tosca-and-big-data-profiles-fusion-plus-solutions-inc-hyderabad-secunderabad-5-to-8-years-040323500809,30+ Days Ago
"Designer, Solution/Data Architect",Lexmark International India,12-20 Yrs,Not disclosed,Kolkata,UnixPerformance tuningBusiness analysisData modelingIntellectual propertyWeavingApacheData warehousing,https://www.naukri.com/job-listings-designer-solution-data-architect-lexmark-international-india-pvt-ltd-kolkata-12-to-20-years-030423500939,30+ Days Ago
Cami . AI Product Owner - Data and AI,Cami Ai,1-2 Yrs,Not disclosed,Kochi/Cochin,Business administrationBusiness analysisProject managementAnalyticalApplication developmentSubject matter expertiseApplication softwareInformation technology,https://www.naukri.com/job-listings-cami-ai-product-owner-data-and-ai-cami-ai-kochi-cochin-1-to-2-years-020922501952,30+ Days Ago
Data Engineer,Actio Tech,4-9 Yrs,Not disclosed,Kochi/Cochin,deep learningTime series analysisMachine learningAlgorithm developmentApplication developmentPredictive modelingBusiness intelligenceAnalytics,https://www.naukri.com/job-listings-data-engineer-actio-tech-llp-kochi-cochin-4-to-9-years-020922501913,30+ Days Ago
Data Engineer,Tanla Platforms,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad,metadataNoSQLMySQLSCALAData structuresApacheAnalyticsSQL,https://www.naukri.com/job-listings-data-engineer-tanla-solutions-ltd-hyderabad-secunderabad-5-to-10-years-020223500868,30+ Days Ago
Data Lead,Hanu Software Solutions Pvt Ltd,2-6 Yrs,Not disclosed,"Noida, Greater Noida",Cloud computingArchitectureBusiness analyticsAnalyticalMySQLMachine learningData processingStored procedures,https://www.naukri.com/job-listings-data-lead-hanu-software-solutions-pvt-ltd-noida-greater-noida-2-to-6-years-010922502349,30+ Days Ago
Artificial Intelligence/Machine Learning Engineer - R/Python,iMindYourBusiness,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,PythonSASArtificial IntelligenceData AnalysisData MiningMachine LearningMATLABIntelligence,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-engineer-r-python-imindyourbusiness-bangalore-bengaluru-3-to-6-years-280923910017,29 Days Ago
Machine Learning Engineer,Minna Technologies,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceSoftware designVersion controlNoSQLPostgresqlMachine learningData processingMongoDB,https://www.naukri.com/job-listings-machine-learning-engineer-minna-technologies-bangalore-bengaluru-2-to-7-years-171023500286,10 Days Ago
"Urgent Opening For Senior Engineer, ML OPs | Bangalore",Kloud9,5-10 Yrs,25-40 Lacs PA,Hybrid - Bangalore/Bengaluru,PytorchTensorflowCi/CdScikit-LearnPythonKubeflowMLOpsXgboost,https://www.naukri.com/job-listings-urgent-opening-for-senior-engineer-ml-ops-bangalore-kloud9-bangalore-bengaluru-5-to-10-years-171023005363,11 Days Ago
Power BI Lead,First American,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisCodingSSRSData structuresStored proceduresTroubleshootingMonitoringSoftware services,https://www.naukri.com/job-listings-power-bi-lead-first-american-india-pvt-ltd-bangalore-bengaluru-4-to-6-years-150923501792,30+ Days Ago
Tableau Developer,TEKNUOVA SOLUTIONS PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,pythonSnowflakeSQLTableau Developerdata governanceTableaudata integrationdashboards,https://www.naukri.com/job-listings-tableau-developer-teknuova-solutions-private-limited-bangalore-bengaluru-5-to-8-years-131023909023,14 Days Ago
Manager - Capital Reporting,The Edge Partnership,8-13 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru",Data analysisSASProcess improvementAnalyticalOracleRisk managementMacrosAnalytics,https://www.naukri.com/job-listings-manager-capital-reporting-the-edge-partnership-chennai-bangalore-bengaluru-8-to-13-years-040923501643,30+ Days Ago
Sr. Tableau Developer,Coders Brain Pvt Ltd,7-15 Yrs,Not disclosed,Bangalore/Bengaluru,TrainingData analysistableaudata visualizationDevelopmentAnalysisSRData,https://www.naukri.com/job-listings-sr-tableau-developer-coders-brain-pvt-ltd-bangalore-bengaluru-7-to-15-years-031023500440,24 Days Ago
Donor Reporting Manager,Merito,4-7 Yrs,Not disclosed,Pune,Donor Reporting managementReporting ManagementMOUMISOperations ManagementAuditingReportingManagement reporting,https://www.naukri.com/job-listings-donor-reporting-manager-merito-pune-4-to-7-years-231023902730,5 Days Ago
GIS Developers- Machine learning,Amnex,0-3 Yrs,Not disclosed,Ahmedabad,GISComputer scienceProcess automationComputer visiondeep learningImage processingWeb developmentMachine learning,https://www.naukri.com/job-listings-gis-developers-machine-learning-amnex-infotechnologies-ahmedabad-0-to-3-years-221019501884,30+ Days Ago
Tableau Developer,Artha Solutions,3-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Computer scienceData analysisData validationData managementEnterprise applicationsBusiness intelligenceCustomer engagementMacros,https://www.naukri.com/job-listings-tableau-developer-artha-solutions-hyderabad-secunderabad-bangalore-bengaluru-3-to-5-years-260421500413,30+ Days Ago
SENIOR TABLEAU DEVELOPER,Iquanti,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisFront endPostgresqlMySQLSSRSSEMData qualitySEO,https://www.naukri.com/job-listings-senior-tableau-developer-iquanti-inc-bangalore-bengaluru-5-to-10-years-220722501045,30+ Days Ago
Machine Learning Engineer I,Simplicity First,0-2 Yrs,Not disclosed,Pune,Cloud computingBusiness analysisCodingMachine learningBusiness solutionsPrincipalAnalyticsSQL,https://www.naukri.com/job-listings-machine-learning-engineer-i-mindbody-pune-0-to-2-years-171022500293,30+ Days Ago
Sr Tableau Developer,Rite Software Solutions And Services,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesSANtableauData analysisSOCSMSMacrosAnalytics,https://www.naukri.com/job-listings-sr-tableau-developer-rite-software-bangalore-bengaluru-1-to-3-years-160821501702,30+ Days Ago
Tableau Developer,Coders Brain Pvt Ltd,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillsData analysistableauNetworkingManager TechnologyBusiness solutionsManagementData,https://www.naukri.com/job-listings-tableau-developer-coders-brain-pvt-ltd-bangalore-bengaluru-5-to-8-years-091023501468,18 Days Ago
QlikView / QlikSense Developer,EVRY India,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesData analysisData modelingCMMIHealthcareQlikViewBusiness intelligenceInformation technology,https://www.naukri.com/job-listings-qlikview-qliksense-developer-evry-india-pvt-ltd-bangalore-bengaluru-6-to-8-years-090922501230,30+ Days Ago
Jr Tableau Developer,CONNECTING 2 WORK,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Relationship managementData analysisChange managementHealthcareTroubleshootingOracleBusiness intelligenceOperations,https://www.naukri.com/job-listings-jr-tableau-developer-connecting-2-work-bangalore-bengaluru-2-to-5-years-070122502269,30+ Days Ago
SENIOR TABLEAU DEVELOPER,Iquanti,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisFront endPostgresqlMySQLSSRSSEMData qualitySEO,https://www.naukri.com/job-listings-senior-tableau-developer-iquanti-inc-bangalore-bengaluru-5-to-7-years-060123501598,30+ Days Ago
Machine Learning Engineer - 2/3,Groww,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,data scienceMachine learningConsultingDeploymentMentorResearchFinancial servicesMachine,https://www.naukri.com/job-listings-machine-learning-engineer-2-3-groww-bangalore-bengaluru-7-to-11-years-050923500982,30+ Days Ago
Tableau Developer,Integrated Personnal Services PrivateLimited.,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,tableauData analysisData validationSocial networkinghr outsourcingdata mappingTroubleshootingIPS,https://www.naukri.com/job-listings-tableau-developer-integrated-personnal-services-privatelimited-bangalore-bengaluru-4-to-9-years-050423500700,30+ Days Ago
Sr. Tableau Developer,Diverse Lynx,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Business processStress testingData analysisData validationtableauPLSQLdata mappingData warehousing,https://www.naukri.com/job-listings-sr-tableau-developer-diverse-lynx-bangalore-bengaluru-3-to-8-years-050122500940,30+ Days Ago
Senior AI Engineer,Nexthink,7-9 Yrs,Not disclosed,Bangalore/Bengaluru,Computer sciencesoftware architecturedata scienceCodingCloudProgrammingNatural language processingAWS,https://www.naukri.com/job-listings-senior-ai-engineer-nexthink-bangalore-bengaluru-7-to-9-years-300823501190,30+ Days Ago
DTR Lead (Dataroma),Looper Development Services,4-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Chennai, Gurgaon/Gurugram, Coimbatore, Bangalore/Bengaluru",DataromaRelationship managementProject managementAgile developmentTableauResource managementCommunicationSQL,https://www.naukri.com/job-listings-dtr-lead-dataroma-looper-development-services-private-limited-mumbai-hyderabad-secunderabad-chennai-gurgaon-gurugram-coimbatore-bangalore-bengaluru-4-to-8-years-271023906993,1 Day Ago
Machine Learning Engineer,Cognial Artificial Intelligence Solutions,6-10 Yrs,18-27.5 Lacs PA,Hyderabad/Secunderabad,PytorchArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningTensorflowDockerApi Integration,https://www.naukri.com/job-listings-machine-learning-engineer-cognial-artificial-intelligence-solutions-hyderabad-secunderabad-6-to-10-years-251023007870,2 Days Ago
Machine Learning Engineer II,Glance,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisLinuxNeural networksAnalyticalMachine learningData structuresOpen sourceGaming,https://www.naukri.com/job-listings-machine-learning-engineer-ii-glance-it-solution-bangalore-bengaluru-2-to-6-years-120823500094,30+ Days Ago
Validation Services Laboratory Specialist,Sartorius,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisMicrobiologyAnalyticalGLPLife sciencesGMPMaterial testingMS Office,https://www.naukri.com/job-listings-validation-services-laboratory-specialist-sartorius-bangalore-bengaluru-1-to-2-years-101023501027,18 Days Ago
Sr . Ml Engineer,Sbcs India,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,software architecturedeep learningdata scienceData modelingCloud ServicesMachine learningData structuresCosmos,https://www.naukri.com/job-listings-sr-ml-engineer-sbcs-india-bangalore-bengaluru-6-to-11-years-100423501273,30+ Days Ago
Ml Engineer,Sbcs India,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,software architecturedeep learningdata scienceData modelingCloud ServicesMachine learningData structuresCosmos,https://www.naukri.com/job-listings-ml-engineer-sbcs-india-bangalore-bengaluru-4-to-9-years-100423501269,30+ Days Ago
Machine Learning Engineer,Eorigami Software,4-9 Yrs,Not disclosed,Remote,Artificial IntelligenceData SciencePredictive ModelingComputer ScienceData ModelingMachine LearningPredictive AnalyticsPython,https://www.naukri.com/job-listings-machine-learning-engineer-eorigami-software-bangalore-bengaluru-4-to-9-years-091023002558,19 Days Ago
Senior AI Engineer,Nexthink,7-9 Yrs,Not disclosed,Bangalore/Bengaluru,software architecturedata scienceCodingCloudProgrammingDeploymentAWSStatistics,https://www.naukri.com/job-listings-senior-ai-engineer-nexthink-bangalore-bengaluru-7-to-9-years-010923501067,30+ Days Ago
Machine Learning Engineer,Corporate Steps,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",software architectureStatistical analysisdata scienceData modelingTime managementAnalyticalMachine learningHR Professional,https://www.naukri.com/job-listings-machine-learning-engineer-corporate-steps-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-7-years-290323500048,30+ Days Ago
Franchise Network Expansion Head (Sr. Manager),Ingeenium Advisors,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,data analyticsFranchisee DevelopmentChannel DevelopmentFranchise SalesFranchisee ManagementRetail OperationsChannel Network ManagementFranchisee Acquisition,https://www.naukri.com/job-listings-franchise-network-expansion-head-sr-manager-ingeenium-advisors-private-limited-bangalore-bengaluru-10-to-15-years-280923910186,29 Days Ago
Databrick Architect |13+Years |Bangalore/Pune/Chennai/Gurgaon/Kolkata,Hcapital,13-17 Yrs,45-50 Lacs PA,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",DatabrickHadoopBig DataKafkaHDFSLamdaFlumeMapreduce,https://www.naukri.com/job-listings-databrick-architect-13-years-bangalore-pune-chennai-gurgaon-kolkata-hcapital-pune-maharashtra-gurgaon-gurugram-haryana-bangalore-bengaluru-13-to-17-years-271023011926,1 Day Ago
UX & UI Front-End Developer,Deep Cognition India,1-5 Yrs,2-6 Lacs PA,"Bangalore/ Bengaluru, Karnataka(Whitefield +1)",UI/UX DesignVue.JSHTML/CSSJavaScriptClient-FocusedProblem-SolvingWeb UICommunication Skills,https://www.naukri.com/job-listings-ux-ui-front-end-developer-deep-cognition-india-bangalore-bengaluru-karnataka-1-to-5-years-260923009004,30+ Days Ago
Senior Digital Product Owner,TVS Motor,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,User researchHR processesdata scienceAgile scrumBusiness Analysthr transformationAgileCustomer experience,https://www.naukri.com/job-listings-senior-digital-product-owner-tvs-motor-company-bangalore-bengaluru-5-to-8-years-251023500861,2 Days Ago
"ENGINEER, NVMQRA",Micron Software,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,C++Operational excellenceFailure analysisRisk assessmentArtificial IntelligenceData collectionTechnology leadershipManagement,https://www.naukri.com/job-listings-engineer-nvmqra-micron-software-bangalore-bengaluru-0-to-2-years-231023500115,4 Days Ago
Machine Learning Engineer,Pype,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,data scienceMachine learningDataMachineScience,https://www.naukri.com/job-listings-machine-learning-engineer-pype-bangalore-bengaluru-2-to-5-years-220519500224,30+ Days Ago
"Associate, Looker Developer",Deutsche Bank,1-2 Yrs,Not disclosed,Pune,Looker developmentBigQuerydata analysisGithubGCPE2E managementLookML ModellingSQL,https://www.naukri.com/job-listings-associate-looker-developer-deutsche-bank-ag-pune-1-to-2-years-181023909033,9 Days Ago
Associate Team Lead,Essenware,7-9 Yrs,Not disclosed,Pune,AutomationData analysisSAPISOProject managementConfiguration managementCMMIOracle,https://www.naukri.com/job-listings-associate-team-lead-essenware-private-limted-pune-7-to-9-years-161023500458,11 Days Ago
Technical Project Manager,GSPANN,8-13 Yrs,Not disclosed,"Hybrid - Pune, Gurgaon/ Gurugram, Haryana",Project Managementdata scienceproduct life cycleData Visualizationdesign engineeringproduct managementsql serverServ,https://www.naukri.com/job-listings-technical-project-manager-gspann-technologies-pune-gurgaon-gurugram-haryana-8-to-13-years-141122004763,16 Days Ago
Manager-Operations,Essenware,12-16 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-manager-operations-essenware-private-limted-hyderabad-secunderabad-12-to-16-years-141023500246,13 Days Ago
Group Manager - Quality,Essenware,15-20 Yrs,Not disclosed,Pune,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-group-manager-quality-essenware-private-limted-pune-15-to-20-years-141023500243,13 Days Ago
Functional Consultant,Essenware,12-16 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-functional-consultant-essenware-private-limted-hyderabad-secunderabad-12-to-16-years-141023500239,13 Days Ago
Associate Consultant-Quality,Essenware,9-12 Yrs,Not disclosed,Pune,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-associate-consultant-quality-essenware-private-limted-pune-9-to-12-years-141023500233,13 Days Ago
Associate Consultant-Quality,Essenware,9-12 Yrs,Not disclosed,Noida,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-associate-consultant-quality-essenware-private-limted-noida-9-to-12-years-141023500232,13 Days Ago
Associate Consultant-Quality,Essenware,7-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-associate-consultant-quality-essenware-private-limted-hyderabad-secunderabad-7-to-9-years-141023500231,13 Days Ago
Associate Consultant-Quality,Essenware,9-12 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisSAPISOBfsiProject managementProcess improvementOracleRisk management,https://www.naukri.com/job-listings-associate-consultant-quality-essenware-private-limted-hyderabad-secunderabad-9-to-12-years-141023500230,13 Days Ago
Senior Associate- Enterprise Strategy & Value - DVT,PwC,4-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad",ProcurementData analysisChange managementSAPSASProject managementBusiness strategyOutsourcing,https://www.naukri.com/job-listings-senior-associate-enterprise-strategy-value-dvt-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-4-to-8-years-131023501912,14 Days Ago
Manager - PBC,Max Life Insurance,1-4 Yrs,Not disclosed,Gurgaon/Gurugram,Enterprise risk managementSQL queriesData analysisAutomationTeam managementMS OfficeOracleStakeholder management,https://www.naukri.com/job-listings-manager-pbc-max-life-insurance-company-limited-gurgaon-gurugram-1-to-4-years-130923500123,30+ Days Ago
React Native,Spinny,1-4 Yrs,Not disclosed,Gurgaon/Gurugram,Data analysisSenior managementManagement consultingSenior Business Analystdata visualizationBusiness intelligenceData miningPerformance monitoring,https://www.naukri.com/job-listings-react-native-spinny-gurgaon-gurugram-1-to-4-years-090922500087,30+ Days Ago
Machine Learning Engineer,Zuma,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Solution architectureTrainingSANdeep learningdata scienceGCPMachine learningData collection,https://www.naukri.com/job-listings-machine-learning-engineer-zuma-bangalore-bengaluru-2-to-3-years-061222501360,30+ Days Ago
Consultant (Non-Actuarial),Milliman,2-5 Yrs,Not disclosed,"New Delhi, Gurgaon/Gurugram",Data analysisClaimsCodingMedical codingAnalyticalConsultingHealthcareMS Office,https://www.naukri.com/job-listings-consultant-non-actuarial-milliman-new-delhi-gurgaon-gurugram-2-to-5-years-061021500336,30+ Days Ago
Manager Quality (Customer Experience & Sales) @ Chennai,Sutherland,10-15 Yrs,10-16 Lacs PA,"Chennai, Tamil Nadu",Sales ProcessRoot Cause AnalysisLogical ApproachCustomer ServiceManager QualityData InterpretationPareto AnalysisProblem Solving,https://www.naukri.com/job-listings-manager-quality-customer-experience-sales-chennai-sutherland-chennai-tamil-nadu-10-to-15-years-060923009674,7 Days Ago
Salesforce Functional Consultant ( Sales/ Services Cloud),Mount Talent Consulting,4-8 Yrs,14-20 Lacs PA,"Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",Salesforce Sales Cloudsalesforce functionalsalesforce implementationSalesforce Service CloudConsultingCloud SalesSalesSalesforce,https://www.naukri.com/job-listings-salesforce-functional-consultant-sales-services-cloud-mount-talent-consulting-gurgaon-gurugram-haryana-bangalore-bengaluru-4-to-8-years-051023004773,1 Day Ago
Power Bi Developer,Cult Hr Organization,4-8 Yrs,15-20 Lacs PA,Remote,Dax QueriesPower Bi DashboardsPower BiSQL Server Reporting ServicesData Analyticspower bi scriptsSSASSsrs Report Writer,https://www.naukri.com/job-listings-power-bi-developer-cult-hr-organization-bangalore-bengaluru-karnataka-4-to-8-years-041023005402,24 Days Ago
Machine Learning Engineer,Cotocus Com,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,TrainingRedhatSalesdata scienceChefMachine learningAutodeskscience,https://www.naukri.com/job-listings-machine-learning-engineer-cotocus-com-bangalore-bengaluru-1-to-4-years-041022500996,30+ Days Ago
Machine Learning (ML) Engineer,Capleo Global,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceStatistical analysisdata scienceLinuxMachine learningDeploymentData qualityMonitoring,https://www.naukri.com/job-listings-machine-learning-ml-engineer-capleo-global-bangalore-bengaluru-4-to-6-years-310823501117,30+ Days Ago
Salesforce Revenue Cloud Architect (CPQ & Billing),A5 Corp,11-16 Yrs,Not disclosed,"Temp. WFH - Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",SalesforceCloud ArchitectingERPProject Managementgap analysisAgileSales CloudSDLC,https://www.naukri.com/job-listings-salesforce-revenue-cloud-architect-cpq-billing-a5-corp-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-11-to-16-years-271023908855,1 Day Ago
Sas Developer,EXL,3-8 Yrs,7-17 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",SASSAS SQLSAS ProgrammingProgrammingDevelopmentProgramSQL,https://www.naukri.com/job-listings-sas-developer-exl-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-3-to-8-years-271023010649,1 Day Ago
Senior Operations Manager,Smart Move Personnel Management Consultants,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,Process designProduct qualityData analysisTeam managementPDFResourcingFMCGTroubleshooting,https://www.naukri.com/job-listings-senior-operations-manager-smart-move-personnel-managementconsultants-pvt-ltd-gurgaon-gurugram-5-to-8-years-270123500646,30+ Days Ago
Salesforce Consultant,Crisil,4-5 Yrs,Not disclosed,"Mumbai, Pune",Process automationData analysisBusiness analysisBusiness analyticsAnalyticalJSONStakeholder managementUser acceptance testing,https://www.naukri.com/job-listings-salesforce-consultant-crisil-mumbai-pune-4-to-5-years-261023501433,1 Day Ago
Junior Research Associate (Pre-Sales),Perusal Global Solutions,3-5 Yrs,"15,000/month",Mumbai (All Areas),LoansB2BTransaction servicesData managementChannel salesMarket intelligenceE-commerceDatabase maintenance,https://www.naukri.com/job-listings-junior-research-associate-pre-sales-perusal-global-solutions-mumbai-all-areas-0-to-1-years-261023008063,Starts within 1 month
Account Manager - Developer Sales,Housing.com,3-5 Yrs,Not disclosed,Panaji/Panjim,Relationship managementService deliveryLead generationTransaction servicesData managementClient retentionChannel salesMarket intelligence,https://www.naukri.com/job-listings-account-manager-developer-sales-housing-com-panaji-panjim-3-to-5-years-251023501162,2 Days Ago
Broker Acquisition,Housing.com,5-7 Yrs,Not disclosed,New Delhi,Relationship managementService deliveryLead generationTransaction servicesData managementClient retentionChannel salesMarket intelligence,https://www.naukri.com/job-listings-broker-acquisition-housing-com-new-delhi-3-to-5-years-251023500420,2 Days Ago
Broker Acquisition,Housing.com,3-5 Yrs,Not disclosed,Navi Mumbai,LoansB2BTransaction servicesData managementChannel salesMarket intelligenceE-commerceDatabase maintenance,https://www.naukri.com/job-listings-broker-acquisition-housing-com-navi-mumbai-5-to-7-years-251023500419,2 Days Ago
Account Manager - Developer Sales,Housing.com,4-9 Yrs,Not disclosed,Visakhapatnam,Analytical skillsSQL queriesCloud ServicessparkSchedulingData analyticsManagementbig data,https://www.naukri.com/job-listings-account-manager-developer-sales-housing-com-visakhapatnam-vizag-3-to-5-years-251023500416,2 Days Ago
Sr. AWS/Azure Databricks Engineer,Clairvoyant India Pvt. Ltd,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune",Consultative salesInterpersonal skillsSales strategyFinanceRetail lendingHealthcareData analyticsSoftware solutions,https://www.naukri.com/job-listings-sr-aws-azure-databricks-engineer-clairvoyant-india-pvt-ltd-hyderabad-secunderabad-pune-4-to-9-years-251023500399,2 Days Ago
Key Account Manager,Lawlogix Group,3-8 Yrs,Not disclosed,Mumbai,Advanced ExcelHR AnalyticsStakeholder Managementproblem - solvingData ManagementCreative ThinkingMIS ReportingCollaboration,https://www.naukri.com/job-listings-key-account-manager-lawlogix-group-mumbai-5-to-8-years-251023500080,3 Days Ago
Program Management Manager - ( Work From Home),SPECTRAFORCE,2-5 Yrs,Not disclosed,Remote,Data analysisProject managementAnalyticalConsultingResource allocationManager CSRProject planningInformation technology,https://www.naukri.com/job-listings-program-management-manager-work-from-home-spectraforce-mohali-punjab-3-to-8-years-241023004374,3 Days Ago
Associate Project Manager - (CSR),Dhwani RIS Pvt. Ltd.,3-8 Yrs,Not disclosed,Gurgaon/Gurugram,Website managementPayment processingInventory managementpayment gatewaysCustomer supportData analyticsCustomer serviceOrder processing,https://www.naukri.com/job-listings-associate-project-manager-csr-dhwani-ris-pvt-ltd-gurgaon-gurugram-2-to-5-years-240223501486,30+ Days Ago
E-Commerce Operator,Unique Infotech,1-4 Yrs,Not disclosed,"Mumbai, Ahmedabad",Social media marketingLead generationSalesMarketing campaignsMarket researchBrand awarenessOnline advertisingData analytics,https://www.naukri.com/job-listings-e-commerce-operator-unique-infotech-mumbai-ahmedabad-3-to-8-years-231023502696,4 Days Ago
Marketing Professional,Groupe Veritas,3-5 Yrs,Not disclosed,Mumbai,Relationship managementService deliveryLead generationTransaction servicesData managementClient retentionChannel salesMarket intelligence,https://www.naukri.com/job-listings-marketing-professional-groupe-veritas-mumbai-1-to-4-years-231023502608,4 Days Ago
Broker Acquisition,Housing.com,5-10 Yrs,Not disclosed,Chennai,SAP ABAPOOPSCloudWebDynProInfrastructureBusiness modelingData analyticsICT,https://www.naukri.com/job-listings-broker-acquisition-housing-com-chennai-3-to-5-years-231023502273,4 Days Ago
SAP ABAP Consultant,T-systems Ict India,7-10 Yrs,Not disclosed,Pune,GITAgile scrumRDBMSAnalyticalASP.NetApplication developmentData analyticsSQL,https://www.naukri.com/job-listings-sap-abap-consultant-t-systems-ict-india-pvt-ltd-pune-5-to-10-years-231023502169,4 Days Ago
Dot Net Fullstack Developer III,Realpage,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,franchise supportFinancial ServicesSurveillanceInternal AuditQueriesFranchiseOn boardingStock Broking,https://www.naukri.com/job-listings-dot-net-fullstack-developer-iii-realpage-inc-hyderabad-secunderabad-7-to-10-years-231023502067,4 Days Ago
Sr Manager Franchise Operation,Rekrut India,7-12 Yrs,7.5-12 Lacs PA,Mumbai (All Areas),Jira Service DeskSupport ProcessData AnalyticsData PipelineSQL QueriesZendeskPipelineQuery,https://www.naukri.com/job-listings-sr-manager-franchise-operation-rekrut-india-mumbai-all-areas-3-to-5-years-231023001948,5 Days Ago
Lead Support Engineer,Albanero Dev Pvt Ltd,2-5 Yrs,12-20 Lacs PA,Hyderabad/Secunderabad,Coordination SkillsCommunication SkillsCoordinationManagement SkillsMS OfficeData AnalyticsComputer SkillsFollow Ups,https://www.naukri.com/job-listings-lead-support-engineer-albanero-dev-pvt-ltd-hyderabad-secunderabad-7-to-12-years-231023001548,5 Days Ago
Sr. Executive - Coordinator,Catalysts Bio Technologies,3-7 Yrs,3-4 Lacs PA,Delhi / NCR(Patparganj Industrial Area),ArchitectBackendTDDSCALAProgrammingTechnical LeadBusiness modelingData analytics,https://www.naukri.com/job-listings-sr-executive-coordinator-catalysts-bio-technologies-delhi-ncr-2-to-5-years-221023001419,6 Days Ago
Software Developer- SCALA,T-systems Ict India,3-7 Yrs,Not disclosed,Pune,Root cause analysisBackendPowershellAgileBusiness modelingData analyticsICTApplication Administrator,https://www.naukri.com/job-listings-software-developer-scala-t-systems-ict-india-pvt-ltd-pune-3-to-7-years-211023500210,6 Days Ago
Application Administrator,T-systems Ict India,8-12 Yrs,Not disclosed,Pune,SAPEnterprise architectureGCPConsultingCloudSAP BasisBusiness modelingData analytics,https://www.naukri.com/job-listings-application-administrator-t-systems-ict-india-pvt-ltd-pune-3-to-7-years-211023500193,6 Days Ago
